rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
10,Merri-bek,2BR Apartment/unit,62,60,6,0.0967741935483871,0.10909782462264989,0.0834083857336003,0.08854288022210907,0.12920640405219946,True,False,no_price_filter,random_forest
11,Merri-bek,1BR Apartment/unit,84,78,9,0.10714285714285714,0.10853305770983229,0.10908179932000095,0.09879113121581139,0.1171608106091198,True,False,no_price_filter,random_forest
12,Port Phillip,3BR House/townhouse,84,70,8,0.09523809523809523,0.10700176135815884,0.09223896762546788,0.09229561177875308,0.12250381433768394,True,False,no_price_filter,random_forest
13,Port Phillip,2BR Apartment/unit,346,292,38,0.10982658959537572,0.10475959081038254,0.09676280679249405,0.0960626401538023,0.11343478995179174,False,False,no_price_filter,random_forest
14,Yarra,2BR Apartment/unit,163,140,15,0.09202453987730061,0.09703660649655498,0.0913587138971658,0.09092203203631681,0.10285988620819463,False,False,no_price_filter,random_forest
15,Stonnington,1BR Apartment/unit,286,222,26,0.09090909090909091,0.09493068831352938,0.09357667889963206,0.08862122146598185,0.10079893701832632,False,False,no_price_filter,random_forest
16,Darebin,1BR Apartment/unit,50,49,4,0.08,0.08841046737984339,0.068601439485941,0.07437690601690937,0.10306417281134195,True,False,no_price_filter,random_forest
17,Stonnington,2BR Apartment/unit,139,118,10,0.07194244604316546,0.08668811495607374,0.08715126042221968,0.07799691432525156,0.09575634195884489,False,False,no_price_filter,random_forest
18,Port Phillip,2BR House/townhouse,69,67,5,0.07246376811594203,0.08423034103124345,0.08923125920056157,0.07073837050987389,0.09771728971683592,True,False,no_price_filter,random_forest
19,Port Phillip,1BR Apartment/unit,478,409,36,0.07531380753138076,0.07876751957738412,0.07742081965475427,0.07420031771700593,0.0829421521504722,False,False,no_price_filter,random_forest
